budget,genres,id,original_language,popularity,production_companies,production_countries,revenue,runtime,title,vote_average,vote_count,release_year,release_month,release_day,release_quarter,season,main_genre,genre_count,keywords
30000000,"['Animation', 'Comedy', 'Family']",862,en,21.946943,['Pixar Animation Studios'],['United States of America'],373554033.0,81.0,Toy Story,7.7,5415.0,1995,10,30,4,Fall,Animation,3,"['jealousy', 'toy', 'boy', 'friendship', 'friends', 'rivalry', 'boy next door', 'new toy', 'toy comes to life']"
65000000,"['Adventure', 'Fantasy', 'Family']",8844,en,17.015539,"['TriStar Pictures', 'Teitler Film', 'Interscope Communications']",['United States of America'],262797249.0,104.0,Jumanji,6.9,2413.0,1995,12,15,4,Winter,Adventure,3,"['board game', 'disappearance', ""based on children's book"", 'new home', 'recluse', 'giant insect']"
16000000,"['Comedy', 'Drama', 'Romance']",31357,en,3.859495,['Twentieth Century Fox Film Corporation'],['United States of America'],81452156.0,127.0,Waiting to Exhale,6.1,34.0,1995,12,22,4,Winter,Comedy,3,"['based on novel', 'interracial relationship', 'single mother', 'divorce', 'chick flick']"
60000000,"['Action', 'Crime', 'Drama', 'Thriller']",949,en,17.924927,"['Regency Enterprises', 'Forward Pass', 'Warner Bros.']",['United States of America'],187436818.0,170.0,Heat,7.7,1886.0,1995,12,15,4,Winter,Action,4,"['robbery', 'detective', 'bank', 'obsession', 'chase', 'shooting', 'thief', 'honor', 'murder', 'suspense', 'heist', 'betrayal', 'money', 'gang', 'cat and mouse', 'criminal mastermind', 'cult film', 'ex-con', 'heist movie', 'one last job', 'loner', 'bank job', 'neo-noir', 'gun fight', 'crime epic']"
35000000,"['Action', 'Adventure', 'Thriller']",9091,en,5.23158,"['Universal Pictures', 'Imperial Entertainment', 'Signature Entertainment']",['United States of America'],64350171.0,106.0,Sudden Death,5.5,174.0,1995,12,22,4,Winter,Action,3,"['terrorist', 'hostage', 'explosive', 'vice president']"
58000000,"['Adventure', 'Action', 'Thriller']",710,en,14.686036,"['United Artists', 'Eon Productions']","['United Kingdom', 'United States of America']",352194034.0,130.0,GoldenEye,6.6,1194.0,1995,11,16,4,Fall,Adventure,3,"['cuba', 'falsely accused', 'secret identity', 'computer virus', 'secret base', 'secret intelligence service', 'kgb', 'satellite', 'special car', 'cossack', 'electromagnetic pulse', 'time bomb', 'st. petersburg russia', 'ejection seat', 'red army']"
62000000,"['Comedy', 'Drama', 'Romance']",9087,en,6.318445,"['Columbia Pictures', 'Castle Rock Entertainment']",['United States of America'],107879496.0,106.0,The American President,6.5,199.0,1995,11,17,4,Fall,Comedy,3,"['white house', 'usa president', 'new love', 'widower', 'wildlife conservation']"
44000000,"['History', 'Drama']",10858,en,5.092,"['Hollywood Pictures', 'Cinergi Pictures Entertainment']",['United States of America'],13681765.0,192.0,Nixon,7.1,72.0,1995,12,22,4,Winter,Documentary,2,"['usa president', 'presidential election', 'watergate scandal', 'biography', 'government', 'historical figure']"
98000000,"['Action', 'Adventure']",1408,en,7.284477,"['Le Studio Canal+', 'Laurence Mark Productions', 'Metro-Goldwyn-Mayer (MGM)', 'Carolco Pictures']","['France', 'Germany', 'Italy', 'United States of America']",10017322.0,119.0,Cutthroat Island,5.7,137.0,1995,12,22,4,Winter,Action,2,"['exotic island', 'treasure', 'map', 'ship', 'scalp', 'pirate']"
52000000,"['Drama', 'Crime']",524,en,10.137389,"['Universal Pictures', 'Légende Entreprises', 'Syalis DA', 'De Fina-Cappa']","['France', 'United States of America']",116112375.0,178.0,Casino,7.8,1343.0,1995,11,22,4,Fall,Drama,2,"['poker', 'drug abuse', '1970s', 'overdose', 'illegal prostitution']"
16500000,"['Drama', 'Romance']",4584,en,10.673167,"['Columbia Pictures Corporation', 'Mirage Enterprises']","['United Kingdom', 'United States of America']",135000000.0,136.0,Sense and Sensibility,7.2,364.0,1995,12,13,4,Winter,Drama,2,"['bowling', 'based on novel', 'servant', 'country life', 'jane austen', 'inheritance', 'military officer', 'period drama', 'rainstorm', 'horse and carriage', 'decorum']"
4000000,"['Crime', 'Comedy']",5,en,9.026586,"['Miramax Films', 'A Band Apart']",['United States of America'],4300000.0,98.0,Four Rooms,6.5,539.0,1995,12,9,4,Winter,Action,2,"['hotel', ""new year's eve"", 'witch', 'bet', 'hotel room', 'sperm', 'los angeles', 'hoodlum', 'woman director', 'episode film']"
30000000,"['Crime', 'Comedy', 'Adventure']",9273,en,8.205448,"['O Entertainment', 'Warner Bros.', 'Morgan Creek Productions']",['United States of America'],212385533.0,90.0,Ace Ventura: When Nature Calls,6.1,1128.0,1995,11,10,4,Fall,Action,3,"['africa', 'indigenous', 'human animal relationship', 'bat']"
60000000,"['Action', 'Comedy', 'Crime']",11517,en,7.337906,['Columbia Pictures'],['United States of America'],35431113.0,103.0,Money Train,5.4,224.0,1995,11,21,4,Fall,Action,3,"['brother brother relationship', 'subway', 'new york city', 'new york subway', 'train robbery']"
