id,title,genre,production_company
1,Avatar,Action,Twentieth Century Fox Film Corporation
2,Star Wars: The Force Awakens,Adventure,Lucasfilm
3,Titanic,Drama,Twentieth Century Fox Film Corporation
4,Jurassic World,Action,Universal Studios
5,Furious 7,Action,Universal Pictures
6,The Avengers,Action,Marvel Studios
7,Harry Potter and the Deathly Hallows: Part 2,Fantasy,Warner Bros.
8,Avengers: Age of Ultron,Action,Marvel Studios
9,Frozen,Animation,Walt Disney Pictures
10,Beauty and the Beast,Romance,Walt Disney Pictures
11,Minions,Animation,Universal Pictures
12,The Lord of the Rings: The Return of the King,Adventure,New Line Cinema
13,Iron Man 3,Action,Marvel Studios
14,The Fate of the Furious,Action,Universal Pictures
15,Despicable Me 3,Animation,Illumination Entertainment
16,Transformers: Dark of the Moon,Action,Paramount Pictures
17,Skyfall,Action,Columbia Pictures
18,Captain America: Civil War,Action,Marvel Studios
19,Despicable Me 2,Animation,Universal Pictures
20,Transformers: Age of Extinction,Action,Paramount Pictures
21,Zootopia,Animation,Walt Disney Pictures
22,Zootopia,Animation,Walt Disney Pictures
23,Toy Story 3,Animation,Walt Disney Pictures
24,Pirates of the Caribbean: Dead Man's Chest,Action,Walt Disney Pictures
25,Jurassic Park,Adventure,Universal Pictures
26,Rogue One: A Star Wars Story,Action,Lucasfilm
27,Harry Potter and the Philosopher's Stone,Fantasy,Warner Bros.
28,The Lord of the Rings: The Two Towers,Adventure,New Line Cinema
29,Finding Nemo,Animation,Pixar Animation Studios
30,The Dark Knight Rises,Action,Warner Bros.
31,Finding Dory,Animation,Pixar Animation Studios
32,Alice in Wonderland,Adventure,Walt Disney Pictures
33,The Dark Knight,Action,Warner Bros.
34,Star Wars: Episode I - The Phantom Menace,Action,Lucasfilm
35,The Secret Life of Pets,Animation,Universal Pictures
36,Ice Age: Dawn of the Dinosaurs,Animation,Twentieth Century Fox Animation
37,The Jungle Book,Adventure,Walt Disney Pictures
38,Harry Potter and the Order of the Phoenix,Fantasy,Warner Bros.
39,E.T. the Extra-Terrestrial,Family,Universal Pictures
40,Ice Age: Continental Drift,Animation,Twentieth Century Fox Animation
41,The Lord of the Rings: The Fellowship of the Ring,Adventure,New Line Cinema
42,Harry Potter and the Chamber of Secrets,Fantasy,Warner Bros.
43,The Hobbit: An Unexpected Journey,Adventure,Warner Bros. Pictures
44,Shrek 2,Animation,DreamWorks SKG
45,Harry Potter and the Goblet of Fire,Fantasy,Warner Bros.
46,The Lion King,Animation,Walt Disney Pictures
47,Independence Day,Action,Twentieth Century Fox Film Corporation
48,Star Wars: Episode III - Revenge of the Sith,Action,Lucasfilm
49,Deadpool,Action,Twentieth Century Fox Film Corporation
50,The Hunger Games: Catching Fire,Action,Lionsgate
51,The Twilight Saga: Breaking Dawn - Part 2,Adventure,Summit Entertainment
52,The Hobbit: The Desolation of Smaug,Adventure,Warner Bros. Pictures
53,The Hobbit: The Battle of the Five Armies,Adventure,Warner Bros. Pictures
54,Harry Potter and the Deathly Hallows: Part 1,Fantasy,Warner Bros.
55,Transformers: Revenge of the Fallen,Action,Paramount Pictures
56,Harry Potter and the Half-Blood Prince,Fantasy,Warner Bros.
57,Spider-Man,Action,Columbia Pictures
58,Inside Out,Animation,Pixar Animation Studios
59,Wonder Woman,Action,Warner Bros.
60,Pirates of the Caribbean: On Stranger Tides,Action,Walt Disney Pictures
61,Inception,Action,Warner Bros.
62,Guardians of the Galaxy Vol. 2,Action,Marvel Studios
63,Pirates of the Caribbean: At World's End,Action,Walt Disney Pictures
64,The Twilight Saga: New Moon,Adventure,Summit Entertainment
65,Harry Potter and the Prisoner of Azkaban,Fantasy,Warner Bros.
66,The Da Vinci Code,Mystery,Columbia Pictures
67,Shrek the Third,Animation,DreamWorks SKG
68,Spectre,Action,Columbia Pictures
69,Spider-Man 3,Action,Columbia Pictures
70,The Sixth Sense,Thriller,Spyglass Entertainment
71,The Twilight Saga: Eclipse,Adventure,Summit Entertainment
72,Fantastic Beasts and Where to Find Them,Adventure,Warner Bros.
73,Fast & Furious 6,Action,Universal Studios
74,The Hunger Games: Mockingjay - Part 1,Action,Lionsgate
75,Batman v Superman: Dawn of Justice,Action,Warner Bros.
76,Forrest Gump,Drama,Paramount Pictures
77,The Hunger Games,Adventure,Lionsgate
78,Gravity,Sci-Fi,Warner Bros.
79,Guardians of the Galaxy,Action,Marvel Studios
80,The Twilight Saga: Breaking Dawn - Part 1,Adventure,Summit Entertainment
81,Madagascar 3: Europe's Most Wanted,Animation,DreamWorks Animation
82,Indiana Jones and the Kingdom of the Crystal Skull,Action,Paramount Pictures
83,The Matrix Reloaded,Action,Village Roadshow Pictures
84,Shrek Forever After,Animation,DreamWorks Animation
85,Spider-Man 2,Action,Columbia Pictures
86,The Passion of the Christ,Drama,Icon Productions
87,Ice Age: The Meltdown,Animation,Blue Sky Studios
88,Maleficent,Action,Walt Disney Pictures
89,Suicide Squad,Action,Warner Bros.
90,2012,Action,Columbia Pictures
91,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,Adventure,Walt Disney
92,Pirates of the Caribbean: Dead Men Tell No Tales,Action,Walt Disney Pictures
93,Up,Animation,Pixar Animation Studios
94,Transformers,Action,Paramount Pictures
95,Mamma Mia!,Comedy,Universal Pictures
96,Sing,Animation,Universal Pictures
97,Mission: Impossible - Ghost Protocol,Action,Paramount Pictures
98,Captain America: The Winter Soldier,Action,Marvel Studios
99,Monsters University,Animation,Pixar Animation Studios
100,Dawn of the Planet of the Apes,Action,Ingenious Media
