title,release_year,budget,revenue,profit,production_companies
Avatar,2009,237000000,2787965087.0,2550965087.0,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Lightstorm Entertainment']"
Star Wars: The Force Awakens,2015,245000000,2068223624.0,1823223624.0,"['Lucasfilm', 'Truenorth Productions', 'Bad Robot']"
Titanic,1997,200000000,1845034188.0,1645034188.0,"['Paramount Pictures', 'Twentieth Century Fox Film Corporation', 'Lightstorm Entertainment']"
Jurassic World,2015,150000000,1513528810.0,1363528810.0,"['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu']"
Furious 7,2015,190000000,1506249360.0,1316249360.0,"['Universal Pictures', 'Original Film', 'Fuji Television Network', 'Dentsu', 'One Race Films', 'China Film Co.', 'Québec Production Services Tax Credit', 'Media Rights Capital (MRC)', 'Abu Dhabi Film Commission', 'Colorado Office of Film, Television & Media']"
The Avengers,2012,220000000,1519557910.0,1299557910.0,"['Paramount Pictures', 'Marvel Studios']"
Harry Potter and the Deathly Hallows: Part 2,2011,125000000,1342000000.0,1217000000.0,"['Warner Bros.', 'Heyday Films']"
Avengers: Age of Ultron,2015,280000000,1405403694.0,1125403694.0,"['Marvel Studios', 'Prime Focus', 'Revolution Sun Studios']"
Frozen,2013,150000000,1274219009.0,1124219009.0,"['Walt Disney Pictures', 'Walt Disney Animation Studios']"
Beauty and the Beast,2017,160000000,1262886337.0,1102886337.0,"['Walt Disney Pictures', 'Mandeville Films']"
Minions,2015,74000000,1156730962.0,1082730962.0,"['Universal Pictures', 'Illumination Entertainment']"
The Lord of the Rings: The Return of the King,2003,94000000,1118888979.0,1024888979.0,"['WingNut Films', 'New Line Cinema']"
Iron Man 3,2013,200000000,1215439994.0,1015439994.0,['Marvel Studios']
The Fate of the Furious,2017,250000000,1238764765.0,988764765.0,"['Universal Pictures', 'Original Film', 'One Race Films']"
Despicable Me 3,2017,80000000,1020063384.0,940063384.0,['Illumination Entertainment']
Transformers: Dark of the Moon,2011,195000000,1123746996.0,928746996.0,"['Paramount Pictures', 'Di Bonaventura Pictures', 'Indochina Productions', 'Hasbro Studios']"
Skyfall,2012,200000000,1108561013.0,908561013.0,['Columbia Pictures']
Captain America: Civil War,2016,250000000,1153304495.0,903304495.0,"['Studio Babelsberg', 'Marvel Studios', 'Walt Disney Studios Motion Pictures', 'Vita-Ray Dutch Productions (III)', 'Deluxe Digital Studios']"
Despicable Me 2,2013,76000000,970761885.0,894761885.0,"['Universal Pictures', 'Illumination Entertainment']"
Transformers: Age of Extinction,2014,210000000,1091405097.0,881405097.0,"['Paramount Pictures', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'China Movie Channel', 'Hasbro Studios', 'Ian Bryce Productions', 'Revolution Sun Studios']"
Zootopia,2016,150000000,1023784195.0,873784195.0,"['Walt Disney Pictures', 'Walt Disney Animation Studios']"
Zootopia,2016,150000000,1023784195.0,873784195.0,"['Walt Disney Pictures', 'Walt Disney Animation Studios']"
Toy Story 3,2010,200000000,1066969703.0,866969703.0,"['Walt Disney Pictures', 'Pixar Animation Studios']"
Pirates of the Caribbean: Dead Man's Chest,2006,200000000,1065659812.0,865659812.0,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']"
Jurassic Park,1993,63000000,920100000.0,857100000.0,"['Universal Pictures', 'Amblin Entertainment']"
Rogue One: A Star Wars Story,2016,200000000,1056057273.0,856057273.0,"['Lucasfilm', 'Walt Disney Pictures', 'Allison Shearmur Productions', 'Black Hangar Studios', 'Stereo D']"
Harry Potter and the Philosopher's Stone,2001,125000000,976475550.0,851475550.0,"['1492 Pictures', 'Warner Bros.', 'Heyday Films']"
The Lord of the Rings: The Two Towers,2002,79000000,926287400.0,847287400.0,"['WingNut Films', 'New Line Cinema', 'The Saul Zaentz Company']"
Finding Nemo,2003,94000000,940335536.0,846335536.0,['Pixar Animation Studios']
The Dark Knight Rises,2012,250000000,1084939099.0,834939099.0,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']"
Finding Dory,2016,200000000,1028570889.0,828570889.0,"['Walt Disney Pictures', 'Pixar Animation Studios', 'Hurwitz Creative']"
Alice in Wonderland,2010,200000000,1025491110.0,825491110.0,"['Walt Disney Pictures', 'Team Todd', 'Tim Burton Productions', 'Roth Films', 'Zanuck Company, The']"
The Dark Knight,2008,185000000,1004558444.0,819558444.0,"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']"
Star Wars: Episode I - The Phantom Menace,1999,115000000,924317558.0,809317558.0,['Lucasfilm']
The Secret Life of Pets,2016,75000000,875457937.0,800457937.0,"['Universal Pictures', 'Fuji Television Network', 'Dentsu', 'Illumination Entertainment']"
Ice Age: Dawn of the Dinosaurs,2009,90000000,886686817.0,796686817.0,"['Blue Sky Studios', 'Twentieth Century Fox Animation']"
The Jungle Book,2016,175000000,966550600.0,791550600.0,"['Walt Disney Pictures', 'Walt Disney Studios Motion Pictures', 'Fairview Entertainment', 'Moving Picture Company (MPC)']"
Harry Potter and the Order of the Phoenix,2007,150000000,938212738.0,788212738.0,"['Warner Bros.', 'Heyday Films']"
E.T. the Extra-Terrestrial,1982,10500000,792965326.0,782465326.0,"['Universal Pictures', 'Amblin Entertainment']"
