id,title,release_year,budget,revenue,production_companies
19995,Avatar,2009,237000000,2787965087.0,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Lightstorm Entertainment']"
140607,Star Wars: The Force Awakens,2015,245000000,2068223624.0,"['Lucasfilm', 'Truenorth Productions', 'Bad Robot']"
597,Titanic,1997,200000000,1845034188.0,"['Paramount Pictures', 'Twentieth Century Fox Film Corporation', 'Lightstorm Entertainment']"
24428,The Avengers,2012,220000000,1519557910.0,"['Paramount Pictures', 'Marvel Studios']"
135397,Jurassic World,2015,150000000,1513528810.0,"['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu']"
168259,Furious 7,2015,190000000,1506249360.0,"['Universal Pictures', 'Original Film', 'Fuji Television Network', 'Dentsu', 'One Race Films', 'China Film Co.', 'Québec Production Services Tax Credit', 'Media Rights Capital (MRC)', 'Abu Dhabi Film Commission', 'Colorado Office of Film, Television & Media']"
99861,Avengers: Age of Ultron,2015,280000000,1405403694.0,"['Marvel Studios', 'Prime Focus', 'Revolution Sun Studios']"
12445,Harry Potter and the Deathly Hallows: Part 2,2011,125000000,1342000000.0,"['Warner Bros.', 'Heyday Films']"
109445,Frozen,2013,150000000,1274219009.0,"['Walt Disney Pictures', 'Walt Disney Animation Studios']"
321612,Beauty and the Beast,2017,160000000,1262886337.0,"['Walt Disney Pictures', 'Mandeville Films']"
337339,The Fate of the Furious,2017,250000000,1238764765.0,"['Universal Pictures', 'Original Film', 'One Race Films']"
68721,Iron Man 3,2013,200000000,1215439994.0,['Marvel Studios']
211672,Minions,2015,74000000,1156730962.0,"['Universal Pictures', 'Illumination Entertainment']"
271110,Captain America: Civil War,2016,250000000,1153304495.0,"['Studio Babelsberg', 'Marvel Studios', 'Walt Disney Studios Motion Pictures', 'Vita-Ray Dutch Productions (III)', 'Deluxe Digital Studios']"
38356,Transformers: Dark of the Moon,2011,195000000,1123746996.0,"['Paramount Pictures', 'Di Bonaventura Pictures', 'Indochina Productions', 'Hasbro Studios']"
122,The Lord of the Rings: The Return of the King,2003,94000000,1118888979.0,"['WingNut Films', 'New Line Cinema']"
37724,Skyfall,2012,200000000,1108561013.0,['Columbia Pictures']
91314,Transformers: Age of Extinction,2014,210000000,1091405097.0,"['Paramount Pictures', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'China Movie Channel', 'Hasbro Studios', 'Ian Bryce Productions', 'Revolution Sun Studios']"
49026,The Dark Knight Rises,2012,250000000,1084939099.0,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']"
10193,Toy Story 3,2010,200000000,1066969703.0,"['Walt Disney Pictures', 'Pixar Animation Studios']"
58,Pirates of the Caribbean: Dead Man's Chest,2006,200000000,1065659812.0,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']"
330459,Rogue One: A Star Wars Story,2016,200000000,1056057273.0,"['Lucasfilm', 'Walt Disney Pictures', 'Allison Shearmur Productions', 'Black Hangar Studios', 'Stereo D']"
1865,Pirates of the Caribbean: On Stranger Tides,2011,380000000,1045713802.0,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company (MPC)']"
127380,Finding Dory,2016,200000000,1028570889.0,"['Walt Disney Pictures', 'Pixar Animation Studios', 'Hurwitz Creative']"
12155,Alice in Wonderland,2010,200000000,1025491110.0,"['Walt Disney Pictures', 'Team Todd', 'Tim Burton Productions', 'Roth Films', 'Zanuck Company, The']"
269149,Zootopia,2016,150000000,1023784195.0,"['Walt Disney Pictures', 'Walt Disney Animation Studios']"
269149,Zootopia,2016,150000000,1023784195.0,"['Walt Disney Pictures', 'Walt Disney Animation Studios']"
49051,The Hobbit: An Unexpected Journey,2012,250000000,1021103568.0,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', 'Metro-Goldwyn-Mayer (MGM)']"
324852,Despicable Me 3,2017,80000000,1020063384.0,['Illumination Entertainment']
155,The Dark Knight,2008,185000000,1004558444.0,"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']"
671,Harry Potter and the Philosopher's Stone,2001,125000000,976475550.0,"['1492 Pictures', 'Warner Bros.', 'Heyday Films']"
93456,Despicable Me 2,2013,76000000,970761885.0,"['Universal Pictures', 'Illumination Entertainment']"
278927,The Jungle Book,2016,175000000,966550600.0,"['Walt Disney Pictures', 'Walt Disney Studios Motion Pictures', 'Fairview Entertainment', 'Moving Picture Company (MPC)']"
285,Pirates of the Caribbean: At World's End,2007,300000000,961000000.0,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']"
57158,The Hobbit: The Desolation of Smaug,2013,250000000,958400000.0,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', 'Metro-Goldwyn-Mayer (MGM)']"
122917,The Hobbit: The Battle of the Five Armies,2014,250000000,956019788.0,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', '3Foot7', 'Metro-Goldwyn-Mayer (MGM)']"
12444,Harry Potter and the Deathly Hallows: Part 1,2010,250000000,954305868.0,"['Warner Bros.', 'Heyday Films']"
12,Finding Nemo,2003,94000000,940335536.0,['Pixar Animation Studios']
675,Harry Potter and the Order of the Phoenix,2007,150000000,938212738.0,"['Warner Bros.', 'Heyday Films']"
767,Harry Potter and the Half-Blood Prince,2009,250000000,933959197.0,"['Warner Bros.', 'Heyday Films']"
121,The Lord of the Rings: The Two Towers,2002,79000000,926287400.0,"['WingNut Films', 'New Line Cinema', 'The Saul Zaentz Company']"
1893,Star Wars: Episode I - The Phantom Menace,1999,115000000,924317558.0,['Lucasfilm']
329,Jurassic Park,1993,63000000,920100000.0,"['Universal Pictures', 'Amblin Entertainment']"
809,Shrek 2,2004,150000000,919838758.0,"['DreamWorks SKG', 'Pacific Data Images (PDI)', 'DreamWorks Animation']"
674,Harry Potter and the Goblet of Fire,2005,150000000,895921036.0,"['Patalex IV Productions Limited', 'Warner Bros.', 'Heyday Films']"
559,Spider-Man 3,2007,258000000,890871626.0,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']"
8355,Ice Age: Dawn of the Dinosaurs,2009,90000000,886686817.0,"['Blue Sky Studios', 'Twentieth Century Fox Animation']"
206647,Spectre,2015,245000000,880674609.0,"['Columbia Pictures', 'Danjaq', 'B24']"
57800,Ice Age: Continental Drift,2012,95000000,877244782.0,"['Blue Sky Studios', 'Twentieth Century Fox Animation']"
672,Harry Potter and the Chamber of Secrets,2002,100000000,876688482.0,"['1492 Pictures', 'Heyday films', 'Warner Bros.']"
328111,The Secret Life of Pets,2016,75000000,875457937.0,"['Universal Pictures', 'Fuji Television Network', 'Dentsu', 'Illumination Entertainment']"
209112,Batman v Superman: Dawn of Justice,2016,250000000,873260194.0,"['DC Comics', 'Atlas Entertainment', 'Warner Bros.', 'DC Entertainment', 'Cruel & Unusual Films', 'RatPac-Dune Entertainment']"
120,The Lord of the Rings: The Fellowship of the Ring,2001,93000000,871368364.0,"['WingNut Films', 'New Line Cinema', 'The Saul Zaentz Company']"
283995,Guardians of the Galaxy Vol. 2,2017,200000000,863416141.0,"['Walt Disney Pictures', 'Marvel Studios']"
150540,Inside Out,2015,175000000,857611174.0,"['Walt Disney Pictures', 'Pixar Animation Studios']"
1895,Star Wars: Episode III - Revenge of the Sith,2005,113000000,850000000.0,['Lucasfilm']
101299,The Hunger Games: Catching Fire,2013,130000000,847423452.0,"['Lionsgate', 'Color Force']"
8373,Transformers: Revenge of the Fallen,2009,150000000,836297228.0,"['Paramount Pictures', 'DreamWorks SKG', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'Hasbro Studios', 'Revolution Sun Studios']"
50620,The Twilight Saga: Breaking Dawn - Part 2,2012,120000000,829000000.0,"['Summit Entertainment', 'Sunswept Entertainment', 'Temple Hill Entertainment']"
27205,Inception,2010,160000000,825532764.0,"['Legendary Pictures', 'Warner Bros.', 'Syncopy']"
557,Spider-Man,2002,139000000,821708551.0,"['Columbia Pictures', 'Marvel Enterprises']"
297762,Wonder Woman,2017,149000000,820580447.0,"['Dune Entertainment', 'Atlas Entertainment', 'Warner Bros.', 'DC Entertainment', 'Cruel & Unusual Films', 'TENCENT PICTURES', 'Wanda Pictures']"
602,Independence Day,1996,75000000,816969268.0,"['Twentieth Century Fox Film Corporation', 'Centropolis Entertainment']"
259316,Fantastic Beasts and Where to Find Them,2016,180000000,809342332.0,"['Heyday films', 'Warner Bros.']"
810,Shrek the Third,2007,160000000,798958165.0,"['DreamWorks SKG', 'DreamWorks Animation']"
166426,Pirates of the Caribbean: Dead Men Tell No Tales,2017,230000000,794191988.0,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Infinitum Nihil', 'Moving Picture Company (MPC)']"
601,E.T. the Extra-Terrestrial,1982,10500000,792965326.0,"['Universal Pictures', 'Amblin Entertainment']"
673,Harry Potter and the Prisoner of Azkaban,2004,130000000,789804554.0,"['1492 Pictures', 'Heyday films', 'Warner Bros.']"
82992,Fast & Furious 6,2013,160000000,788679850.0,"['Universal Studios', 'Universal Pictures', 'Original Film', 'One Race Productions', 'Fuji Television Network', 'Dentsu', 'Relativity Media', 'Etalon film', 'F & F VI Productions A.I.E']"
8587,The Lion King,1994,45000000,788241776.0,"['Walt Disney Pictures', 'Walt Disney Feature Animation']"
217,Indiana Jones and the Kingdom of the Crystal Skull,2008,185000000,786636033.0,"['Lucasfilm', 'Paramount Pictures']"
558,Spider-Man 2,2004,200000000,783766341.0,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']"
293660,Deadpool,2016,58000000,783112979.0,"['Twentieth Century Fox Film Corporation', 'Marvel Entertainment', ""The Donners' Company"", 'TSG Entertainment', 'Kinberg Genre']"
118340,Guardians of the Galaxy,2014,170000000,773328629.0,"['Marvel Studios', 'Moving Picture Company (MPC)', 'Bulletproof Cupid', 'Revolution Sun Studios']"
14161,2012,2009,200000000,769653595.0,"['Columbia Pictures', 'Centropolis Entertainment', 'The Mark Gordon Company', 'Farewell Productions']"
591,The Da Vinci Code,2006,125000000,767820459.0,"['Columbia Pictures', 'Imagine Entertainment', 'Skylark Productions', 'Government of Malta']"
102651,Maleficent,2014,180000000,758539785.0,"['Walt Disney Pictures', 'Walt Disney Studios Motion Pictures', 'Roth Films']"
10192,Shrek Forever After,2010,165000000,752600867.0,['DreamWorks Animation']
1930,The Amazing Spider-Man,2012,215000000,752215857.0,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Entertainment']"
