id,title,genre,production_company
106,Predator,Action,"Twentieth Century Fox Film Corporation"
91314,Transformers: Age of Extinction,Science Fiction,"Paramount Pictures"
138832,We're the Millers,Comedy,"New Line Cinema"
11544,Lilo & Stitch,Animation,"Walt Disney Pictures"
9543,Prince of Persia: The Sands of Time,Adventure,"Walt Disney Pictures"
807,Se7en,Thriller,"Warner Bros."
10538,Passenger 57,Action,"Warner Bros."
745,The Sixth Sense,Mystery,"Spyglass Entertainment"
133805,Carrie,Drama,"Screen Gems"
262504,Allegiant,Adventure,"Summit Entertainment"
2105,American Pie,Comedy,"Universal Pictures"
6068,Six Days Seven Nights,Adventure,"Caravan Pictures"
207932,Inferno,Thriller,"Columbia Pictures"
141,Donnie Darko,Fantasy,"Pandora Cinema"
363676,Sully,Drama,"Malpaso Productions"
136797,Need for Speed,Action,"DreamWorks SKG"
7220,The Punisher,Action,"Lions Gate Films"
654,On the Waterfront,Crime,"Columbia Pictures"
426,Vertigo,Mystery,"Paramount Pictures"
792,Platoon,War,"Orion Pictures"
194662,Birdman,Comedy,"Worldview Entertainment"
1535,Spy Game,Action,"Universal Pictures"
1018,Mulholland Drive,Thriller,"Asymmetrical Productions"
2503,The Bourne Ultimatum,Action,"Universal Pictures"
73,American History X,Drama,"New Line Cinema"
703,Annie Hall,Comedy,"United Artists"
411,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,Adventure,"Walt Disney"
1271,300,Action,"Virtual Studios"
260346,Taken 3,Thriller,"Twentieth Century Fox Film Corporation"
5176,3:10 to Yuma,Western,"Tree Line Films"
300671,13 Hours: The Secret Soldiers of Benghazi,Action,"Paramount Pictures"
8271,Disturbia,Thriller,"Paramount Pictures"
10555,Shark Tale,Animation,"DreamWorks SKG"
808,Shrek,Animation,"DreamWorks SKG"
340101,Their Finest,Romance,"BBC Films"
2832,Identity,Thriller,"Columbia Pictures"
1584,School of Rock,Comedy,"Paramount Pictures"
4922,The Curious Case of Benjamin Button,Fantasy,"Paramount Pictures"
949,Heat,Action,"Regency Enterprises"
47971,xXx: Return of Xander Cage,Action,"Paramount Pictures"
567,Rear Window,Thriller,"Paramount Pictures"
205587,The Judge,Drama,"Village Roadshow Pictures"
192102,3 Days to Kill,Action,"Wonderland Sound and Vision"
75656,Now You See Me,Crime,"Summit Entertainment"
177677,Mission: Impossible - Rogue Nation,Action,"Paramount Pictures"
209189,Life of Crime,Comedy,"Gotham Group"
871,Planet of the Apes,Action,"Twentieth Century Fox Film Corporation"
9479,The Nightmare Before Christmas,Fantasy,"Tim Burton Productions"
8409,A Man Apart,Action,"New Line Cinema"
41216,Legend of the Guardians: The Owls of Ga'Hoole,Animation,"Village Roadshow Pictures"
170,28 Days Later,Horror,"DNA Films"
180863,T2 Trainspotting,Crime,"DNA Films"
602,Independence Day,Science Fiction,"Twentieth Century Fox Film Corporation"
383785,Kung Fu Yoga,Action,"Shinework Media"
156022,The Equalizer,Thriller,"Columbia Pictures"
162,Edward Scissorhands,Fantasy,"Twentieth Century Fox Film Corporation"
181283,Child 44,Thriller,"Summit Entertainment"
283445,Sinister 2,Horror,"Alliance Films"
64682,The Great Gatsby,Romance,"Village Roadshow Pictures"
223702,Sausage Party,Adventure,"Columbia Pictures"
863,Toy Story 2,Animation,"Pixar Animation Studios"
310307,The Founder,Drama,"Weinstein Company, The"
10802,Showgirls,Drama,"United Artists"
10144,The Little Mermaid,Animation,"Walt Disney Pictures"
278927,The Jungle Book,Adventure,"Walt Disney Pictures"
11185,See No Evil Hear No Evil,Comedy,"TriStar Pictures"
22804,Saw VI,Horror,"Lionsgate"
425,Ice Age,Animation,"Twentieth Century Fox Film Corporation"
869,Planet of the Apes,Adventure,"Twentieth Century Fox Film Corporation"
271718,Trainwreck,Comedy,"Universal Pictures"
12155,Alice in Wonderland,Adventure,"Walt Disney Pictures"
23483,Kick-Ass,Action,"Lionsgate"
290595,The Huntsman: Winter's War,Adventure,"Universal Pictures"
49018,Insidious,Horror,"Alliance Films"
166424,Fantastic Four,Action,"Twentieth Century Fox Film Corporation"
319,True Romance,Action,"Davis-Films"
241239,A Most Violent Year,Thriller,"Participant Media"
242,The Godfather: Part III,Thriller,"Paramount Pictures"
128,Princess Mononoke,Adventure,"Miramax Films"
43074,Ghostbusters,Action,"Columbia Pictures"
714,Tomorrow Never Dies,Thriller,"Eon Productions"
8005,Robin Hood: Men in Tights,Comedy,"Gaumont"
8077,Alien³,Science Fiction,"Twentieth Century Fox Film Corporation"
185,A Clockwork Orange,Drama,"Hawk Films"
334543,Lion,Drama,"The Weinstein Company"
324849,The Lego Batman Movie,Action,"Lin Pictures"
36586,Blade II,Fantasy,"New Line Cinema"
335791,When the Bough Breaks,Mystery,"Screen Gems"
415,Batman & Robin,Action,"PolyGram Filmed Entertainment"
321258,The Boy,Thriller,"Lakeshore Entertainment"
321258,The Boy,Thriller,"Lakeshore Entertainment"
256961,Paul Blart: Mall Cop 2,Action,"Columbia Pictures"
8844,Jumanji,Adventure,"TriStar Pictures"
47933,Independence Day: Resurgence,Action,"Twentieth Century Fox Film Corporation"
37799,The Social Network,Drama,"Columbia Pictures"
137116,Smurfs: The Lost Village,Adventure,"Columbia Pictures"
10193,Toy Story 3,Animation,"Walt Disney Pictures"
1734,The Mummy Returns,Adventure,"Universal Pictures"
1124,The Prestige,Mystery,"Warner Bros."
256924,Danny Collins,Comedy,"Big Indie Pictures"
